ID,ADDRESS,CITY,ZIP,Longitude,Latitude,Match Score,Provider Number,Location Number,geometry,ASM2021,SEN2021,NAMELSAD,SENATE_DISTRICT2021,SENATE_DISTRICT,CONGRESSIONAL_DISTRICT,GEOID
46,6653 N 42nd St                               ,Milwaukee      ,53209-3010,-87.964587206005,43.138827128866,100.0,0000556530,001,POINT (-87.964587206005 43.138827128866),11,4,Milwaukee County,04,4.0,4,55079000800
47,1003 6th St                               ,Ashland        ,54806-1318,-90.891411086028,46.583194805581,99.43,0000556760,001,POINT (-90.891411086028 46.583194805581),74,25,Ashland County,25,25.0,7,55003950400
48,427 North St                               ,Tomah          ,54660-1234,-90.49822799419,43.993644837287,100.0,0000556980,001,POINT (-90.49822799419 43.993644837287),70,24,Monroe County,24,24.0,3,55081950600
49,3741 N 15th St                               ,Milwaukee      ,53206-2908,-87.929633831573,43.085613736457,100.0,0000557000,001,POINT (-87.929633831573 43.085613736457),10,4,Milwaukee County,04,4.0,4,55079004600
50,2378 N 1st St                               ,Milwaukee      ,53212-3224,-87.911054421175,43.061976685683,100.0,0000557000,004,POINT (-87.911054421175 43.061976685683),16,6,Milwaukee County,06,6.0,4,55079185600
51,1544 Franklin St                               ,Onalaska       ,54650-2062,-91.229503364875,43.908347573089,100.0,0000557000,011,POINT (-91.229503364875 43.908347573089),94,32,La Crosse County,32,32.0,3,55063010404
52,2046 N 25th St                               ,Milwaukee      ,53205-1008,-87.945038344685,43.057372254812,100.0,0000557000,012,POINT (-87.945038344685 43.057372254812),16,6,Milwaukee County,06,6.0,4,55079009900
53,1020 Starlight Ln                               ,Cottage Grove  ,53527-9137,-89.206432546119,43.098817748529,100.0,0000557000,013,POINT (-89.206432546119 43.098817748529),46,16,Dane County,16,16.0,2,55025012003
54,637 Janick Cir                               ,Stevens Point  ,54481-2407,-89.540422973009,44.528917071656,99.43,0000557000,014,POINT (-89.540422973009 44.528917071656),71,24,Portage County,24,24.0,7,55097960500
55,502 Saratoga Ave                               ,Osceola        ,54020-8124,-92.69462039354,45.317054267655,100.0,0000557000,019,POINT (-92.69462039354 45.317054267655),28,10,Polk County,10,10.0,7,55095960800
56,5954 N 39th St                               ,Milwaukee      ,53209-3916,-87.960905957949,43.12598441873,100.0,0000557000,027,POINT (-87.960905957949 43.12598441873),11,4,Milwaukee County,04,4.0,4,55079001000
57,2917 Holborn Cir                               ,Madison        ,53718-7928,-89.286152491945,43.13497799129,100.0,0000557150,002,POINT (-89.286152491945 43.13497799129),46,16,Dane County,16,16.0,2,55025011405
58,1740 Chase St                               ,Wisc Rapids    ,54495-3948,-89.845524500052,44.391123277317,100.0,0000557210,001,POINT (-89.845524500052 44.391123277317),72,24,Wood County,24,24.0,7,55141011200
59,230 Superior St                               ,Antigo         ,54409-1853,-89.152442612291,45.135311808034,100.0,0000557820,001,POINT (-89.152442612291 45.135311808034),35,12,Langlade County,12,12.0,7,55067960600
60,6326 N 106th St                               ,Milwaukee      ,53225-1416,-88.043964834904,43.132689186899,100.0,0000557850,001,POINT (-88.043964834904 43.132689186899),12,4,Milwaukee County,04,4.0,4,55079000303
61,586 Shiner Lk                               ,Wabeno         ,54566,-88.633030992296,45.400804986898,98.51,0000557850,002,POINT (-88.633030992296 45.400804986898),36,12,Forest County,12,12.0,8,55041950200
62,4544 N 45th St                               ,Milwaukee      ,53218-5248,-87.96933060883,43.100001692353,100.0,0000557920,001,POINT (-87.96933060883 43.100001692353),17,6,Milwaukee County,06,6.0,4,55079002700
63,6329 Alison Ln                               ,Madison        ,53711-2402,-89.490987597728,43.045719858746,100.0,0000558100,001,POINT (-89.490987597728 43.045719858746),78,26,Dane County,26,26.0,2,55025000407
64,3254 N 47th St                               ,Milwaukee      ,53216-3357,-87.972541129204,43.078259161244,100.0,0000558100,005,POINT (-87.972541129204 43.078259161244),18,6,Milwaukee County,06,6.0,4,55079004900
65,1002 E Vienna Ave                               ,Milwaukee      ,53212-1715,-87.897889971686,43.085817458614,100.0,0000558560,003,POINT (-87.897889971686 43.085817458614),10,4,Milwaukee County,04,4.0,4,55079004400
66,3346 N 30th St                               ,Milwaukee      ,53216-3824,-87.950845913939,43.080184274856,100.0,0000558560,007,POINT (-87.950845913939 43.080184274856),16,6,Milwaukee County,06,6.0,4,55079006300
67,7400 97th Ave                               ,Kenosha        ,53142-8211,-87.926629086922,42.568293946128,100.0,0000558620,001,POINT (-87.926629086922 42.568293946128),64,22,Kenosha County,22,22.0,1,55059002603
68,2911 N 28th St                               ,Milwaukee      ,53210-2017,-87.948600737354,43.071865990326,100.0,0000558670,006,POINT (-87.948600737354 43.071865990326),16,6,Milwaukee County,06,6.0,4,55079006300
69,7001 W Hampton Ave                               ,Milwaukee      ,53218-4811,-87.999617023393,43.104846180931,100.0,0000558680,002,POINT (-87.999617023393 43.104846180931),17,6,Milwaukee County,06,6.0,4,55079003200
70,5274 N 64th St                               ,Milwaukee      ,53218-3001,-87.991097657006,43.113769261685,100.0,0000558680,006,POINT (-87.991097657006 43.113769261685),11,4,Milwaukee County,04,4.0,4,55079001900
71,1160 Gammon Ln                               ,Madison        ,53719-2211,-89.503317125842,43.040410803184,100.0,0000558800,001,POINT (-89.503317125842 43.040410803184),78,26,Dane County,26,26.0,2,55025000407
72,4110 N 72nd St                               ,Milwaukee      ,53216-1036,-88.001782488079,43.09214499923,100.0,0000558810,003,POINT (-88.001782488079 43.09214499923),17,6,Milwaukee County,06,6.0,4,55079003500
73,3325 Debra Ln                               ,Racine         ,53403-3567,-87.807364676892,42.690991956316,100.0,0000558930,002,POINT (-87.807364676892 42.690991956316),66,22,Racine County,22,22.0,1,55101000800
74,7621 Plainview Ave                               ,Burlington     ,53105-9205,-88.284592343627,42.634610264858,100.0,0000559000,003,POINT (-88.284592343627 42.634610264858),63,21,Racine County,21,21.0,1,55101002600
75,3449 N 15th St                               ,Milwaukee      ,53206-2336,-87.92975528535,43.081232641396,100.0,0000559000,005,POINT (-87.92975528535 43.081232641396),10,4,Milwaukee County,04,4.0,4,55079006800
76,5864 N 66th St                               ,Milwaukee      ,53218-1927,-87.993408212435,43.124525841849,100.0,0000559000,006,POINT (-87.993408212435 43.124525841849),11,4,Milwaukee County,04,4.0,4,55079001300
77,4340 W Eggert Pl                               ,Milwaukee      ,53218-4423,-87.967796301454,43.110872224491,100.0,0000559620,001,POINT (-87.967796301454 43.110872224491),11,4,Milwaukee County,04,4.0,4,55079002800
78,4468 N 71st St                               ,Milwaukee      ,53218-5409,-88.000614134595,43.098804588941,100.0,0000559650,001,POINT (-88.000614134595 43.098804588941),17,6,Milwaukee County,06,6.0,4,55079003200
79,310 Canal St                               ,Berlin         ,54923-1929,-88.95584515713,43.96554459071,100.0,0000559750,001,POINT (-88.95584515713 43.96554459071),41,14,Green Lake County,14,14.0,6,55047100100
80,6860 N 40th St                               ,Milwaukee      ,53209-2225,-87.960891205799,43.142661011379,100.0,0000559770,003,POINT (-87.960891205799 43.142661011379),11,4,Milwaukee County,04,4.0,4,55079000900
81,2724 N 17th St                               ,Milwaukee      ,53206-2129,-87.934392573281,43.068395002311,100.0,0000559840,001,POINT (-87.934392573281 43.068395002311),16,6,Milwaukee County,06,6.0,4,55079008600
82,6433 W Lancaster Ave                               ,Milwaukee      ,53218-4012,-87.992215551432,43.109847955923,100.0,0000559900,001,POINT (-87.992215551432 43.109847955923),17,6,Milwaukee County,06,6.0,4,55079003000
83,4134 N 62nd St                               ,Milwaukee      ,53216-1235,-87.989409290249,43.092683368871,100.0,0000559980,001,POINT (-87.989409290249 43.092683368871),17,6,Milwaukee County,06,6.0,4,55079003600
84,3841 N 50th St                               ,Milwaukee      ,53216-2301,-87.975843599055,43.087108900345,100.0,0000560200,001,POINT (-87.975843599055 43.087108900345),17,6,Milwaukee County,06,6.0,4,55079003800
85,3858 N 68th St                               ,Milwaukee      ,53216-2010,-87.997080240397,43.087611688807,100.0,0000560540,002,POINT (-87.997080240397 43.087611688807),17,6,Milwaukee County,06,6.0,4,55079005100
86,1207 N Main St                               ,Oshkosh        ,54901-3841,-88.537603695196,44.032415372335,100.0,0000560770,001,POINT (-88.537603695196 44.032415372335),54,18,Winnebago County,18,18.0,6,55139000400
87,1308 Prairie Rd                               ,Madison        ,53711-3217,-89.488613004558,43.038566994033,100.0,0000561010,001,POINT (-89.488613004558 43.038566994033),78,26,Dane County,26,26.0,2,55025000407
88,7509 W Caldwell Ave                               ,Milwaukee      ,53218-2839,-88.005057046192,43.113685316925,100.0,0000561090,001,POINT (-88.005057046192 43.113685316925),11,4,Milwaukee County,04,4.0,4,55079001800
89,401 N Hume Ave                               ,Marshfield     ,54449-3934,-90.1499209414,44.662796307664,100.0,0000561090,002,POINT (-90.1499209414 44.662796307664),86,29,Wood County,29,29.0,7,55141010200
90,7824 W Bobolink Ave                               ,Milwaukee      ,53218-1733,-88.009367188443,43.125084537605,100.0,0000561090,003,POINT (-88.009367188443 43.125084537605),12,4,Milwaukee County,04,4.0,4,55079001500
91,4732 N 40th St                               ,Milwaukee      ,53209-5812,-87.962660122645,43.103350681767,100.0,0000561090,004,POINT (-87.962660122645 43.103350681767),17,6,Milwaukee County,06,6.0,4,55079002600
92,217351 State Highway 97                               ,Stratford      ,54484-4304,-90.077814781143,44.841132319924,100.0,0000561090,010,POINT (-90.077814781143 44.841132319924),69,23,Marathon County,23,23.0,7,55073002000
93,814 S Section St                               ,Nekoosa        ,54457-1448,-89.904115679629,44.305836741955,100.0,0000561670,001,POINT (-89.904115679629 44.305836741955),70,24,Wood County,24,24.0,7,55141011700
94,327 20th St                               ,La Crosse      ,54601-5065,-91.226289156464,43.80787839359,99.43,0000561800,001,POINT (-91.226289156464 43.80787839359),95,32,La Crosse County,32,32.0,3,55063000700
95,1317 Prairie Rd                               ,Madison        ,53711-3216,-89.488570927404,43.038121789246,100.0,0000562160,002,POINT (-89.488570927404 43.038121789246),78,26,Dane County,26,26.0,2,55025000407
96,11710 W Mill Rd                               ,Milwaukee      ,53225-1128,-88.058105105561,43.134031087688,100.0,0000562160,003,POINT (-88.058105105561 43.134031087688),12,4,Milwaukee County,04,4.0,4,55079000301
97,1200 Howard St                               ,Racine         ,53404-2816,-87.812118878501,42.7353231901,100.0,0000562300,006,POINT (-87.812118878501 42.7353231901),66,22,Racine County,22,22.0,1,55101001202
98,3624 Glenn Ln                               ,Middleton      ,53562-1035,-89.50830444205,43.115062631255,100.0,0000562810,001,POINT (-89.50830444205 43.115062631255),80,27,Dane County,27,27.0,2,55025011104
99,3035 N 52nd St                               ,Milwaukee      ,53210-1612,-87.978559922417,43.074281487183,100.0,0000563240,001,POINT (-87.978559922417 43.074281487183),17,6,Milwaukee County,06,6.0,4,55079005000
100,1904 Neptune Ave                               ,Racine         ,53404-2241,-87.813149349677,42.744307374928,100.0,0000563590,001,POINT (-87.813149349677 42.744307374928),66,22,Racine County,22,22.0,1,55101001202
101,6702 East Pass Rd                               ,Madison        ,53719,-89.499327004654,43.012627476367,99.23,0000563650,003,POINT (-89.499327004654 43.012627476367),78,26,Dane County,26,26.0,2,55025010801
102,4278 State Highway 173                               ,Nekoosa        ,54457-8402,-89.933563903875,44.322123618015,100.0,0000563650,007,POINT (-89.933563903875 44.322123618015),70,24,Wood County,24,24.0,7,55141010900
103,5831 Cherrywood Ct                               ,Wisc Rapids    ,54494-9061,-89.752084719833,44.350692790165,100.0,0000563650,008,POINT (-89.752084719833 44.350692790165),72,24,Wood County,24,24.0,7,55141011500
104,391 17th Ave                               ,Wisc Rapids    ,54495-2453,-89.844754538427,44.39989150241,99.4,0000563690,001,POINT (-89.844754538427 44.39989150241),72,24,Wood County,24,24.0,7,55141011100
105,1511 Maple St                               ,Racine         ,53404-3213,-87.799670159723,42.726834752935,100.0,0000563730,001,POINT (-87.799670159723 42.726834752935),66,22,Racine County,22,22.0,1,55101000500
106,25 Water Street                               ,Rice Lake      ,54868,-91.735372930642,45.499856241746,100.0,0000563840,002,POINT (-91.735372930642 45.499856241746),75,25,Barron County,25,25.0,7,55005000602
107,3012 W Oriole Dr                               ,Milwaukee      ,53209-4242,-87.950554978079,43.123779014276,100.0,0000563840,004,POINT (-87.950554978079 43.123779014276),11,4,Milwaukee County,04,4.0,4,55079001000
108,1009 East Ave                               ,Onalaska       ,54650-2268,-91.235083616914,43.898083513555,99.43,0000563900,001,POINT (-91.235083616914 43.898083513555),94,32,La Crosse County,32,32.0,3,55063010404
109,2816 Kennedy Rd                               ,Janesville     ,53545-0466,-89.005905906207,42.716420322059,100.0,0000563970,001,POINT (-89.005905906207 42.716420322059),44,15,Rock County,15,15.0,1,55105001202
110,6538 N 66th St                               ,Milwaukee      ,53223-5708,-87.993761593473,43.136651647806,100.0,0000564080,001,POINT (-87.993761593473 43.136651647806),11,4,Milwaukee County,04,4.0,4,55079000600
111,7816 W Waterford Ave                               ,Milwaukee      ,53220-2267,-88.010393133392,42.970328746816,100.0,0000564160,002,POINT (-88.010393133392 42.970328746816),84,28,Milwaukee County,28,28.0,4,55079019700
112,503 Orion Trl                               ,Madison        ,53718-5118,-89.280073349029,43.091963489117,100.0,0000564280,001,POINT (-89.280073349029 43.091963489117),48,16,Dane County,16,16.0,2,55025011406
113,3428 4th Ave                               ,Racine         ,53402-3730,-87.793721858316,42.761801412684,100.0,0000564340,001,POINT (-87.793721858316 42.761801412684),66,22,Racine County,22,22.0,1,55101001401
114,3180 N 81st St                               ,Milwaukee      ,53222-3810,-88.013469375676,43.077101871873,100.0,0000564460,001,POINT (-88.013469375676 43.077101871873),17,6,Milwaukee County,06,6.0,4,55079005300
115,5205 Maher Ave                               ,Madison        ,53716-2823,-89.313257555158,43.063585005265,100.0,0000564480,001,POINT (-89.313257555158 43.063585005265),47,16,Dane County,16,16.0,2,55025002900
116,2907 N 45th St                               ,Milwaukee      ,53210-1716,-87.96992279029,43.071840383612,100.0,0000564650,002,POINT (-87.96992279029 43.071840383612),18,6,Milwaukee County,06,6.0,4,55079004900
117,4719 N 79th St                               ,Milwaukee      ,53218-4650,-88.010626066481,43.103585542694,100.0,0000565030,001,POINT (-88.010626066481 43.103585542694),17,6,Milwaukee County,06,6.0,4,55079003300
118,6205 Adobe Way                               ,Madison        ,53719-4899,-89.490104648047,43.008839484774,100.0,0000566370,001,POINT (-89.490104648047 43.008839484774),78,26,Dane County,26,26.0,2,55025010702
119,2430 W Vine St                               ,Milwaukee      ,53205-1416,-87.943733030904,43.054897539809,100.0,0000566470,001,POINT (-87.943733030904 43.054897539809),16,6,Milwaukee County,06,6.0,4,55079185800
120,5128 N 51st Blvd                               ,Milwaukee      ,53218-4331,-87.97628809138,43.110828848142,100.0,0000567170,003,POINT (-87.97628809138 43.110828848142),11,4,Milwaukee County,04,4.0,4,55079002800
121,2732 N Vel R Phillips Ave                               ,Milwaukee      ,53212-2316,-87.915453914514,43.068385907946,100.0,0000567470,001,POINT (-87.915453914514 43.068385907946),10,4,Milwaukee County,04,4.0,4,55079185700
122,3204 Glenhaven Pl                               ,Eau Claire     ,54703-2693,-91.530008340036,44.831495771572,100.0,0000567910,003,POINT (-91.530008340036 44.831495771572),91,31,Eau Claire County,31,31.0,3,55035001401
123,3711 N 25th St                               ,Milwaukee      ,53206-1332,-87.944802980844,43.085000055416,100.0,0000568120,001,POINT (-87.944802980844 43.085000055416),16,6,Milwaukee County,06,6.0,4,55079004700
124,4967 W Medford Ave                               ,Milwaukee      ,53216-2334,-87.975326938543,43.08772576651,100.0,0000569180,002,POINT (-87.975326938543 43.08772576651),17,6,Milwaukee County,06,6.0,4,55079003800
125,4641 N 28th St                               ,Milwaukee      ,53209-6136,-87.94795013403,43.101783223963,100.0,0000569380,001,POINT (-87.94795013403 43.101783223963),10,4,Milwaukee County,04,4.0,4,55079002400
126,3333 N 9th St                               ,Milwaukee      ,53206-2810,-87.922393459791,43.07969397543,100.0,0000569610,001,POINT (-87.922393459791 43.07969397543),10,4,Milwaukee County,04,4.0,4,55079006800
127,3465 N 16th St                               ,Milwaukee      ,53206-2340,-87.930992621896,43.081611712967,100.0,0000569920,001,POINT (-87.930992621896 43.081611712967),10,4,Milwaukee County,04,4.0,4,55079006800
128,5019 N Santa Monica Blvd                               ,Whitefish Bay  ,53217-5535,-87.907096151219,43.108148986058,100.0,0000570630,001,POINT (-87.907096151219 43.108148986058),23,8,Milwaukee County,08,8.0,5,55079070300
129,W12957 N Charcoal Rd                               ,Hixton         ,54635-8630,-90.961960475408,44.364287608473,99.86,0000571280,001,POINT (-90.961960475408 44.364287608473),92,31,Jackson County,31,31.0,3,55053960200
130,1616 Grange Ave                               ,Racine         ,53405-3540,-87.811297535808,42.711868990544,100.0,0000573220,002,POINT (-87.811297535808 42.711868990544),66,22,Racine County,22,22.0,1,55101000600
131,2918 N 47th St                               ,Milwaukee      ,53210-1730,-87.972299730392,43.072085680008,100.0,0000573430,001,POINT (-87.972299730392 43.072085680008),18,6,Milwaukee County,06,6.0,4,55079004900
132,3120 Churchill Dr                               ,Madison        ,53713-2904,-89.423746880807,43.028233783798,100.0,0000573540,001,POINT (-89.423746880807 43.028233783798),77,26,Dane County,26,26.0,2,55025001402
133,4151 N 78th Ct                               ,Milwaukee      ,53222-2031,-88.010553143923,43.092804906467,100.0,0000573630,001,POINT (-88.010553143923 43.092804906467),17,6,Milwaukee County,06,6.0,4,55079003400
134,1516 Willmor St                               ,Racine         ,53402-3969,-87.799709554668,42.758436204287,100.0,0000573820,001,POINT (-87.799709554668 42.758436204287),66,22,Racine County,22,22.0,1,55101001401
135,8128 W Eggert Pl                               ,Milwaukee      ,53218-3648,-88.012741742662,43.111344125639,100.0,0000573820,003,POINT (-88.012741742662 43.111344125639),11,4,Milwaukee County,04,4.0,4,55079001700
136,3048 N 25th St                               ,Milwaukee      ,53206-1117,-87.944744558979,43.074435420835,100.0,0000574350,002,POINT (-87.944744558979 43.074435420835),16,6,Milwaukee County,06,6.0,4,55079006400
137,504 Hendricks St                               ,Merrill        ,54452-1433,-89.692167439355,45.184660975442,100.0,0000575090,001,POINT (-89.692167439355 45.184660975442),35,12,Lincoln County,12,12.0,7,55069960900
138,5272 N 65th St                               ,Milwaukee      ,53218-3008,-87.992369526994,43.113771357161,100.0,0000575500,002,POINT (-87.992369526994 43.113771357161),11,4,Milwaukee County,04,4.0,4,55079001800
139,1318 Manitoba Ave                               ,S Milwaukee    ,53172-1915,-87.868247622563,42.913520481863,100.0,0000575600,001,POINT (-87.868247622563 42.913520481863),21,7,Milwaukee County,07,7.0,4,55079170600
140,9672 Idell Ave                               ,Sparta         ,54656-4423,-90.799005800299,43.920122973584,100.0,0000575810,001,POINT (-90.799005800299 43.920122973584),70,24,Monroe County,24,24.0,3,55081950900
141,3219 N 49th St                               ,Milwaukee      ,53216-3203,-87.974824024353,43.077533875162,100.0,0000575930,001,POINT (-87.974824024353 43.077533875162),18,6,Milwaukee County,06,6.0,4,55079004900
142,5371a N 53rd St                               ,Milwaukee      ,53218-3320,-87.97880327219,43.115108591474,100.0,0000576110,001,POINT (-87.97880327219 43.115108591474),11,4,Milwaukee County,04,4.0,4,55079001900
